Complexity metrics,Qua, 13 dez 2017 16:15:53 BRST
Method,ev(G),iv(G),v(G)
"xml.XmlPlugin.TagMouseHandler.mousePressed(MouseEvent)",3,6,7
"xml.XmlPlugin.handleMessage(EBMessage)",1,5,5
"xml.XmlPlugin.isDelegated(JEditTextArea)",2,3,4
"xml.XmlPlugin.start()",1,3,3
"xml.XmlPlugin.stop()",1,3,3
"xml.XmlPlugin.uriToFile(String)",1,7,8
"xml.completion.AntCompleteTask.areNmtokens(String[])",3,2,3
"xml.completion.AntCompleteTask.execute()",2,6,7
"xml.completion.AntCompleteTask.getList(Enumeration)",1,3,3
"xml.completion.AntCompleteTask.isNmtoken(String)",3,6,7
"xml.completion.AntCompleteTask.printAttribute(PrintWriter,String,String,boolean)",1,2,2
"xml.completion.AntCompleteTask.printElementClose(PrintWriter)",1,1,1
"xml.completion.AntCompleteTask.printElementDecl(PrintWriter,String,Class)",5,22,27
"xml.completion.AntCompleteTask.printElementOpen(PrintWriter,String,String)",1,1,2
"xml.completion.AntCompleteTask.printProjectDecl(PrintWriter)",1,1,1
"xml.completion.AntCompleteTask.printTargetDecl(PrintWriter)",1,1,1
"xml.completion.AntCompleteTask.setOutput(File)",1,1,1
"xml.completion.CompletionInfo.CompletionInfo()",1,1,1
"xml.completion.CompletionInfo.CompletionInfo(ArrayList,HashMap,ArrayList,HashMap,ArrayList)",1,1,1
"xml.completion.CompletionInfo.addElement(ElementDecl)",1,1,1
"xml.completion.CompletionInfo.addEntity(EntityDecl)",1,3,3
"xml.completion.CompletionInfo.addEntity(int,String,String)",1,1,1
"xml.completion.CompletionInfo.addEntity(int,String,String,String)",1,1,1
"xml.completion.CompletionInfo.clone()",1,1,1
"xml.completion.CompletionInfo.getAllElements(String,List)",1,3,3
"xml.completion.CompletionInfo.getCompletionInfoForBuffer(Buffer)",5,4,5
"xml.completion.CompletionInfo.getCompletionInfoForNamespace(String)",2,2,2
"xml.completion.CompletionInfo.getCompletionInfoFromResource(String)",2,3,5
"xml.completion.CompletionInfo.toString()",1,2,2
"xml.completion.CompletionInfoHandler.CompletionInfoHandler()",1,1,1
"xml.completion.CompletionInfoHandler.addEntity(EntityDecl)",1,3,3
"xml.completion.CompletionInfoHandler.getCompletionInfo()",1,1,1
"xml.completion.CompletionInfoHandler.resolveEntity(String,String)",1,1,2
"xml.completion.CompletionInfoHandler.setDocumentLocator(Locator)",1,1,1
"xml.completion.CompletionInfoHandler.startElement(String,String,String,Attributes)",1,11,11
"xml.completion.ElementDecl.AttributeDecl.AttributeDecl(String,String,ArrayList,String,boolean)",1,1,1
"xml.completion.ElementDecl.AttributeDecl.toString()",1,3,3
"xml.completion.ElementDecl.Compare.compare(Object,Object)",1,1,1
"xml.completion.ElementDecl.ElementDecl(CompletionInfo,String,String)",1,2,2
"xml.completion.ElementDecl.ElementDecl(CompletionInfo,String,boolean,boolean,List,Map,Set)",1,1,1
"xml.completion.ElementDecl.addAttribute(AttributeDecl)",3,3,3
"xml.completion.ElementDecl.findReplacements(String)",1,1,1
"xml.completion.ElementDecl.getAttribute(String)",1,1,1
"xml.completion.ElementDecl.getChildElements(String)",1,8,8
"xml.completion.ElementDecl.getRequiredAttributesString()",1,4,4
"xml.completion.ElementDecl.isAbstract()",1,1,1
"xml.completion.ElementDecl.setContent(String)",5,4,5
"xml.completion.ElementDecl.toString()",1,7,7
"xml.completion.ElementDecl.withPrefix(String)",2,1,2
"xml.completion.EntityDecl.Compare.compare(Object,Object)",2,2,2
"xml.completion.EntityDecl.EntityDecl(int,String,String)",1,1,1
"xml.completion.EntityDecl.EntityDecl(int,String,String,String)",1,1,1
"xml.completion.EntityDecl.toString()",3,3,3
"xml.completion.IDDecl.Compare.compare(Object,Object)",1,1,1
"xml.completion.IDDecl.IDDecl(String,String,String,int,int)",1,1,1
"xml.completion.IDDecl.toString()",1,1,1
"xml.completion.XmlCompletion.XmlCompletion(View,List,String,XmlParsedData,String)",1,1,1
"xml.completion.XmlCompletion.getRenderer()",1,1,1
"xml.completion.XmlCompletion.getTokenLength()",1,1,1
"xml.completion.XmlCompletion.handleKeystroke(int,char)",4,7,8
"xml.completion.XmlCompletion.insert(Object,char)",7,17,18
"xml.completion.XmlCompletion.insert(int)",1,1,1
"xml.completion.XsdElementDecl.XsdElementDecl(XSElementDeclaration,CompletionInfo,String,String)",1,1,1
"xml.completion.XsdElementDecl.findReplacements(String)",2,4,7
"xml.completion.XsdElementDecl.isAbstract()",1,1,1
"xml.options.CatalogsOptionPane.ActionHandler.actionPerformed(ActionEvent)",3,4,5
"xml.options.CatalogsOptionPane.CatalogsOptionPane()",1,1,1
"xml.options.CatalogsOptionPane.ListHandler.valueChanged(ListSelectionEvent)",1,1,1
"xml.options.CatalogsOptionPane._init()",1,2,2
"xml.options.CatalogsOptionPane._save()",1,2,2
"xml.options.CatalogsOptionPane.updateEnabled()",1,1,1
"xml.options.GeneralOptionPane.GeneralOptionPane()",1,1,1
"xml.options.GeneralOptionPane._init()",1,1,1
"xml.options.GeneralOptionPane._save()",1,1,1
"xml.parser.SAXParserImpl.Handler.Handler(Buffer,String,DefaultErrorSource,XmlParsedData,XMLGrammarPoolImpl)",1,1,1
"xml.parser.SAXParserImpl.Handler.addError(int,String,int,String)",1,1,1
"xml.parser.SAXParserImpl.Handler.attributeDecl(String,String,String,String,String)",2,4,5
"xml.parser.SAXParserImpl.Handler.characters(char[],int,int)",2,1,2
"xml.parser.SAXParserImpl.Handler.elementDecl(String,String)",1,2,2
"xml.parser.SAXParserImpl.Handler.endDocument()",1,3,3
"xml.parser.SAXParserImpl.Handler.endElement(String,String,String)",4,2,5
"xml.parser.SAXParserImpl.Handler.endPrefixMapping(String)",3,5,5
