Complexity metrics,Sex, 17 nov 2017 11:09:50 BRST
Method,ev(G),iv(G),v(G)
"org.apache.tools.ant.DefaultLogger.taskStarted(BuildEvent)",1,1,1
"org.apache.tools.ant.DefaultLogger.throwableMessage(StringBuffer,Throwable,boolean)",4,4,6
"org.apache.tools.ant.DemuxInputStream.DemuxInputStream(Project)",1,1,1
"org.apache.tools.ant.DemuxInputStream.read()",2,1,2
"org.apache.tools.ant.DemuxInputStream.read(byte[],int,int)",1,1,1
"org.apache.tools.ant.DemuxOutputStream.DemuxOutputStream(Project,boolean)",1,1,1
"org.apache.tools.ant.DemuxOutputStream.close()",1,1,1
"org.apache.tools.ant.DemuxOutputStream.flush()",1,2,2
"org.apache.tools.ant.DemuxOutputStream.getBufferInfo()",1,2,2
"org.apache.tools.ant.DemuxOutputStream.processBuffer(ByteArrayOutputStream)",1,1,1
"org.apache.tools.ant.DemuxOutputStream.processFlush(ByteArrayOutputStream)",1,1,1
"org.apache.tools.ant.DemuxOutputStream.removeBuffer()",1,1,1
"org.apache.tools.ant.DemuxOutputStream.resetBufferInfo()",1,1,2
"org.apache.tools.ant.DemuxOutputStream.write(byte[],int,int)",1,4,9
"org.apache.tools.ant.DemuxOutputStream.write(int)",1,5,5
"org.apache.tools.ant.Diagnostics.Diagnostics()",1,1,1
"org.apache.tools.ant.Diagnostics.doReport(PrintStream)",1,1,1
"org.apache.tools.ant.Diagnostics.doReport(PrintStream,int)",1,1,1
"org.apache.tools.ant.Diagnostics.doReportAntHomeLibraries(PrintStream)",1,1,1
"org.apache.tools.ant.Diagnostics.doReportAntProperties(PrintStream)",1,1,4
"org.apache.tools.ant.Diagnostics.doReportLocale(PrintStream)",1,1,1
"org.apache.tools.ant.Diagnostics.doReportParserInfo(PrintStream)",1,1,1
"org.apache.tools.ant.Diagnostics.doReportProxy(PrintStream)",2,1,6
"org.apache.tools.ant.Diagnostics.doReportSystemProperties(PrintStream)",1,3,3
"org.apache.tools.ant.Diagnostics.doReportTasksAvailability(PrintStream)",1,8,8
"org.apache.tools.ant.Diagnostics.doReportTempDir(PrintStream)",3,10,11
"org.apache.tools.ant.Diagnostics.doReportUserHomeLibraries(PrintStream)",1,1,1
"org.apache.tools.ant.Diagnostics.doReportWhich(PrintStream)",1,5,6
"org.apache.tools.ant.Diagnostics.doReportXSLTProcessorInfo(PrintStream)",1,1,1
"org.apache.tools.ant.Diagnostics.getClassLocation(Class<?>)",2,1,2
"org.apache.tools.ant.Diagnostics.getImplementationVersion(Class<?>)",1,1,1
"org.apache.tools.ant.Diagnostics.getNamespaceParserLocation()",1,3,3
"org.apache.tools.ant.Diagnostics.getNamespaceParserName()",1,2,2
"org.apache.tools.ant.Diagnostics.getProperty(String)",1,1,2
"org.apache.tools.ant.Diagnostics.getSAXParser()",2,2,3
"org.apache.tools.ant.Diagnostics.getXMLParserLocation()",2,2,3
"org.apache.tools.ant.Diagnostics.getXMLParserName()",2,1,2
"org.apache.tools.ant.Diagnostics.getXSLTProcessor()",2,2,3
"org.apache.tools.ant.Diagnostics.getXSLTProcessorLocation()",2,2,3
"org.apache.tools.ant.Diagnostics.getXSLTProcessorName()",2,1,2
"org.apache.tools.ant.Diagnostics.header(PrintStream,String)",1,1,1
"org.apache.tools.ant.Diagnostics.ignoreThrowable(Throwable)",1,1,1
"org.apache.tools.ant.Diagnostics.isOptionalAvailable()",1,1,1
"org.apache.tools.ant.Diagnostics.listJarFiles(File)",1,1,1
"org.apache.tools.ant.Diagnostics.listLibraries()",2,1,2
"org.apache.tools.ant.Diagnostics.main(String[])",1,1,1
"org.apache.tools.ant.Diagnostics.printLibraries(File[],PrintStream)",2,3,3
"org.apache.tools.ant.Diagnostics.printParserInfo(PrintStream,String,String,String)",1,1,3
"org.apache.tools.ant.Diagnostics.printProperty(PrintStream,String)",1,2,2
"org.apache.tools.ant.Diagnostics.validateVersion()",1,1,1
"org.apache.tools.ant.DirectoryScanner.DirectoryScanner()",1,1,1
"org.apache.tools.ant.DirectoryScanner.accountForIncludedDir(TokenizedPath,File,boolean)",1,4,4
"org.apache.tools.ant.DirectoryScanner.accountForIncludedDir(TokenizedPath,File,boolean,String[],LinkedList<String>)",1,4,4
"org.apache.tools.ant.DirectoryScanner.accountForIncludedFile(TokenizedPath,File)",1,1,1
"org.apache.tools.ant.DirectoryScanner.accountForNotFollowedSymlink(String,File)",1,1,1
"org.apache.tools.ant.DirectoryScanner.accountForNotFollowedSymlink(TokenizedPath,File)",1,6,6
"org.apache.tools.ant.DirectoryScanner.addDefaultExclude(String)",1,1,1
"org.apache.tools.ant.DirectoryScanner.addDefaultExcludes()",1,3,4
"org.apache.tools.ant.DirectoryScanner.addExcludes(String[])",1,4,6
"org.apache.tools.ant.DirectoryScanner.causesIllegalSymlinkLoop(String,File,LinkedList<String>)",5,7,9
"org.apache.tools.ant.DirectoryScanner.checkIncludePatterns()",8,31,36
"org.apache.tools.ant.DirectoryScanner.clearCaches()",1,1,1
"org.apache.tools.ant.DirectoryScanner.clearResults()",1,1,1
"org.apache.tools.ant.DirectoryScanner.contentsExcluded(TokenizedPath)",3,3,4
"org.apache.tools.ant.DirectoryScanner.couldHoldIncluded(String)",1,1,1
"org.apache.tools.ant.DirectoryScanner.couldHoldIncluded(TokenizedPath)",5,3,5
"org.apache.tools.ant.DirectoryScanner.couldHoldIncluded(TokenizedPath,TokenizedPattern)",1,3,3
"org.apache.tools.ant.DirectoryScanner.ensureNonPatternSetsReady()",1,2,2
"org.apache.tools.ant.DirectoryScanner.fillNonPatternSet(Map<String, TokenizedPath>,String[])",1,4,4
"org.apache.tools.ant.DirectoryScanner.getBasedir()",1,1,1
"org.apache.tools.ant.DirectoryScanner.getDefaultExcludes()",1,1,1
"org.apache.tools.ant.DirectoryScanner.getDeselectedDirectories()",1,1,1
"org.apache.tools.ant.DirectoryScanner.getDeselectedFiles()",1,1,1
"org.apache.tools.ant.DirectoryScanner.getExcludedDirectories()",1,1,1
"org.apache.tools.ant.DirectoryScanner.getExcludedFiles()",1,1,1
"org.apache.tools.ant.DirectoryScanner.getIncludedDirectories()",2,1,2
"org.apache.tools.ant.DirectoryScanner.getIncludedDirsCount()",2,1,2
"org.apache.tools.ant.DirectoryScanner.getIncludedFiles()",2,1,2
"org.apache.tools.ant.DirectoryScanner.getIncludedFilesCount()",2,1,2
"org.apache.tools.ant.DirectoryScanner.getNotFollowedSymlinks()",1,1,1
"org.apache.tools.ant.DirectoryScanner.getNotIncludedDirectories()",1,1,1
"org.apache.tools.ant.DirectoryScanner.getNotIncludedFiles()",1,1,1
"org.apache.tools.ant.DirectoryScanner.getResource(String)",1,1,1
"org.apache.tools.ant.DirectoryScanner.getScannedDirs()",1,1,1
"org.apache.tools.ant.DirectoryScanner.hasBeenScanned(String)",1,1,1
"org.apache.tools.ant.DirectoryScanner.isCaseSensitive()",1,1,1
"org.apache.tools.ant.DirectoryScanner.isDeeper(TokenizedPattern,TokenizedPath)",1,2,2
"org.apache.tools.ant.DirectoryScanner.isEverythingIncluded()",1,1,1
"org.apache.tools.ant.DirectoryScanner.isExcluded(String)",1,1,1
"org.apache.tools.ant.DirectoryScanner.isExcluded(TokenizedPath)",4,3,5
"org.apache.tools.ant.DirectoryScanner.isFollowSymlinks()",1,1,1
"org.apache.tools.ant.DirectoryScanner.isIncluded(String)",1,1,1
"org.apache.tools.ant.DirectoryScanner.isIncluded(TokenizedPath)",4,3,5
"org.apache.tools.ant.DirectoryScanner.isMorePowerfulThanExcludes(String)",3,2,3
"org.apache.tools.ant.DirectoryScanner.isSelected(String,File)",4,3,4
"org.apache.tools.ant.DirectoryScanner.match(String,String)",1,1,1
"org.apache.tools.ant.DirectoryScanner.match(String,String,boolean)",1,1,1
"org.apache.tools.ant.DirectoryScanner.matchPath(String,String)",1,1,1
"org.apache.tools.ant.DirectoryScanner.matchPath(String,String,boolean)",1,1,1
"org.apache.tools.ant.DirectoryScanner.matchPatternStart(String,String)",1,1,1
"org.apache.tools.ant.DirectoryScanner.matchPatternStart(String,String,boolean)",1,1,1
"org.apache.tools.ant.DirectoryScanner.normalizePattern(String)",1,1,2
"org.apache.tools.ant.DirectoryScanner.processIncluded(TokenizedPath,File,Vector<String>,Vector<String>,Vector<String>)",2,5,6
"org.apache.tools.ant.DirectoryScanner.processSlowScan(String[])",1,4,4
"org.apache.tools.ant.DirectoryScanner.removeDefaultExclude(String)",1,1,1
"org.apache.tools.ant.DirectoryScanner.resetDefaultExcludes()",1,2,2
"org.apache.tools.ant.DirectoryScanner.scan()",9,11,22
"org.apache.tools.ant.DirectoryScanner.scandir(File,String,boolean)",1,1,1
"org.apache.tools.ant.DirectoryScanner.scandir(File,TokenizedPath,boolean)",5,4,5
"org.apache.tools.ant.DirectoryScanner.scandir(File,TokenizedPath,boolean,String[],LinkedList<String>)",6,23,25
"org.apache.tools.ant.DirectoryScanner.setBasedir(File)",1,1,1
"org.apache.tools.ant.DirectoryScanner.setBasedir(String)",1,2,2
"org.apache.tools.ant.DirectoryScanner.setCaseSensitive(boolean)",1,1,1
"org.apache.tools.ant.DirectoryScanner.setErrorOnMissingDir(boolean)",1,1,1
"org.apache.tools.ant.DirectoryScanner.setExcludes(String[])",1,3,3
"org.apache.tools.ant.DirectoryScanner.setFollowSymlinks(boolean)",1,1,1
"org.apache.tools.ant.DirectoryScanner.setIncludes(String[])",1,3,3
"org.apache.tools.ant.DirectoryScanner.setMaxLevelsOfSymlinks(int)",1,1,1
"org.apache.tools.ant.DirectoryScanner.setSelectors(FileSelector[])",1,1,1
"org.apache.tools.ant.DirectoryScanner.shouldSkipPattern(String)",4,3,5
"org.apache.tools.ant.DirectoryScanner.slowScan()",3,3,9
"org.apache.tools.ant.ExitException.ExitException(String,int)",1,1,1
"org.apache.tools.ant.ExitException.ExitException(int)",1,1,1
"org.apache.tools.ant.ExitException.getStatus()",1,1,1
"org.apache.tools.ant.ExitStatusException.ExitStatusException(String,int)",1,1,1
"org.apache.tools.ant.ExitStatusException.ExitStatusException(String,int,Location)",1,1,1
"org.apache.tools.ant.ExitStatusException.ExitStatusException(int)",1,1,1
"org.apache.tools.ant.ExitStatusException.getStatus()",1,1,1
"org.apache.tools.ant.ExtensionPoint.ExtensionPoint()",1,1,1
"org.apache.tools.ant.ExtensionPoint.ExtensionPoint(Target)",1,1,1
"org.apache.tools.ant.ExtensionPoint.addDataType(RuntimeConfigurable)",1,1,1
"org.apache.tools.ant.ExtensionPoint.addTask(Task)",1,1,1
"org.apache.tools.ant.IntrospectionHelper.AddNestedCreator.AddNestedCreator(Method,Constructor<?>,int)",1,1,1
"org.apache.tools.ant.IntrospectionHelper.AddNestedCreator.create(Project,Object,Object)",1,4,5
"org.apache.tools.ant.IntrospectionHelper.AddNestedCreator.isPolyMorphic()",1,1,1
"org.apache.tools.ant.IntrospectionHelper.AddNestedCreator.istore(Object,Object)",1,1,1
