smells_analysis,Sex, 18 mai 2018 16:12:20 BRT
Method,CALL,CALLED,CALLEDp,CDENS,CONTROL,ev(G),EXEC,EXP,IF_NEST,IMP,iv(G),LOC,LOOP,LOOP_NEST,NBD,NCLOC,NP,NTP,RLOC,STAT,v(G)
"org.apache.tools.ant.AntTypeDefinition.getClassLoader()",0,3,3,"0,00%",0,1,1,1,0,n/a,1,7,0,0,0,3,0,0,"2,05%",1,1
"org.apache.tools.ant.AntTypeDefinition.getClassName()",0,8,8,"0,00%",0,1,1,1,0,n/a,1,7,0,0,0,3,0,0,"2,05%",1,1
"org.apache.tools.ant.AntTypeDefinition.getExposedClass(Project)",3,12,12,"40,00%",2,3,3,24,2,n/a,4,18,0,0,2,9,1,0,"5,28%",5,5
"org.apache.tools.ant.AntTypeDefinition.getName()",0,7,7,"0,00%",0,1,1,1,0,n/a,1,7,0,0,0,3,0,0,"2,05%",1,1
"org.apache.tools.ant.AntTypeDefinition.getTypeClass(Project)",4,11,11,"20,00%",1,1,4,25,0,n/a,3,18,0,0,1,13,1,0,"5,28%",5,3
"org.apache.tools.ant.AntTypeDefinition.icreate(Project)",6,1,1,"35,71%",5,6,9,43,2,n/a,2,27,0,0,2,22,1,0,"7,92%",14,7
"org.apache.tools.ant.AntTypeDefinition.innerCreateAndSet(Class<T>,Project)",4,2,2,"10,00%",1,1,9,39,0,n/a,2,36,0,0,1,19,2,1,"10,56%",10,3
"org.apache.tools.ant.AntTypeDefinition.innerGetTypeClass()",2,3,3,"33,33%",2,2,4,20,1,n/a,2,18,0,0,1,11,0,0,"5,28%",6,3
"org.apache.tools.ant.AntTypeDefinition.isRestrict()",0,1,1,"0,00%",0,1,1,1,0,n/a,1,7,0,0,0,3,0,0,"2,05%",1,1
"org.apache.tools.ant.AntTypeDefinition.sameDefinition(AntTypeDefinition,Project)",8,3,3,"0,00%",0,1,1,41,0,n/a,7,15,0,0,0,8,2,0,"4,40%",1,7
"org.apache.tools.ant.AntTypeDefinition.setAdaptToClass(Class<?>)",0,3,3,"0,00%",0,1,1,4,0,n/a,1,7,0,0,0,3,1,0,"2,05%",1,1
"org.apache.tools.ant.AntTypeDefinition.setAdapterClass(Class<?>)",0,3,3,"0,00%",0,1,1,4,0,n/a,1,9,0,0,0,3,1,0,"2,64%",1,1
"org.apache.tools.ant.AntTypeDefinition.setClass(Class<?>)",2,6,6,"20,00%",1,2,4,31,1,n/a,3,14,0,0,1,9,1,0,"4,11%",5,4
"org.apache.tools.ant.AntTypeDefinition.setClassLoader(ClassLoader)",0,7,7,"0,00%",0,1,1,4,0,n/a,1,8,0,0,0,3,1,0,"2,35%",1,1
"org.apache.tools.ant.AntTypeDefinition.setClassName(String)",0,7,7,"0,00%",0,1,1,4,0,n/a,1,7,0,0,0,3,1,0,"2,05%",1,1
"org.apache.tools.ant.AntTypeDefinition.setName(String)",0,11,11,"0,00%",0,1,1,4,0,n/a,1,7,0,0,0,3,1,0,"2,05%",1,1
"org.apache.tools.ant.AntTypeDefinition.setRestrict(boolean)",0,4,4,"0,00%",0,1,1,4,0,n/a,1,7,0,0,0,3,1,0,"2,05%",1,1
"org.apache.tools.ant.AntTypeDefinition.similarDefinition(AntTypeDefinition,Project)",16,3,3,"20,00%",1,2,4,70,1,n/a,9,32,0,0,1,19,2,0,"9,38%",5,10
"org.apache.tools.ant.ArgumentProcessor.handleArg(List<String>)",n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,1,1,0,"15,91%",n/a,n/a
"org.apache.tools.ant.ArgumentProcessor.handleArg(Project,List<String>)",n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,1,2,0,"15,91%",n/a,n/a
"org.apache.tools.ant.ArgumentProcessor.prepareConfigure(Project,List<String>)",n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,1,2,0,"11,36%",n/a,n/a
"org.apache.tools.ant.ArgumentProcessor.printUsage(PrintStream)",n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,1,1,0,"13,64%",n/a,n/a
"org.apache.tools.ant.ArgumentProcessor.readArguments(String[],int)",n/a,4,4,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,1,2,0,"15,91%",n/a,n/a
"org.apache.tools.ant.ArgumentProcessorRegistry.ArgumentProcessorRegistry()",1,1,1,"0,00%",0,1,1,2,0,n/a,1,3,0,0,0,3,0,0,"2,44%",1,1
"org.apache.tools.ant.ArgumentProcessorRegistry.collectArgumentProcessors()",17,1,1,"29,41%",5,1,12,68,1,n/a,6,27,1,1,3,27,0,0,"21,95%",17,6
"org.apache.tools.ant.ArgumentProcessorRegistry.getInstance()",0,3,3,"0,00%",0,1,1,1,0,n/a,1,3,0,0,0,3,0,0,"2,44%",1,1
