Package,PDcy,PDpt
"sdkmanager.libs.sdkuilib.src.com.android.sdkuilib.internal.repository.icons",2,5
"sdkmanager.libs.sdkuilib.src.com.android.sdkuilib.internal.repository.sdkman1",10,4
"sdkmanager.libs.sdkuilib.src.com.android.sdkuilib.internal.repository.sdkman2",10,3
"sdkmanager.libs.sdkuilib.src.com.android.sdkuilib.internal.tasks",4,3
"sdkmanager.libs.sdkuilib.src.com.android.sdkuilib.internal.widgets",12,8
"sdkmanager.libs.sdkuilib.src.com.android.sdkuilib.repository",4,6
"sdkmanager.libs.sdkuilib.src.com.android.sdkuilib.ui",1,6
"sdkmanager.libs.sdkuilib.tests",0,0
"sdkmanager.libs.sdkuilib.tests.com.android.sdkuilib.internal.repository",6,1
"sdkmanager.libs.sdkuilib.tests.com.android.sdkuilib.internal.repository.sdkman2",3,0
"sdkstats",0,0
"sdkstats.src",0,0
"sdkstats.src.com.android.sdkstats",1,4
"swtmenubar",0,0
"swtmenubar.src-darwin.com.android.menubar.internal",1,0
"swtmenubar.src.com.android.menubar",0,4
"templates",0,0
"traceview",0,0
"traceview.etc",0,0
"traceview.src",0,0
"traceview.src.com.android.traceview",1,1

