Method,ev(G),iv(G),v(G)
"com.android.internal.telephony.BaseCommands.setOnSignalStrengthUpdate(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.setOnSmsOnSim(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.setOnSmsStatus(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.setOnSuppServiceNotification(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.setOnUSSD(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.setOnUnsolOemHookRaw(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.setRadioState(RadioState)",2,12,13
"com.android.internal.telephony.BaseCommands.testingEmergencyCall()",1,1,1
"com.android.internal.telephony.BaseCommands.unSetOnCallRing(Handler)",1,1,1
"com.android.internal.telephony.BaseCommands.unSetOnCatCallSetUp(Handler)",1,1,1
"com.android.internal.telephony.BaseCommands.unSetOnCatEvent(Handler)",1,1,1
"com.android.internal.telephony.BaseCommands.unSetOnCatProactiveCmd(Handler)",1,1,1
"com.android.internal.telephony.BaseCommands.unSetOnCatSessionEnd(Handler)",1,1,1
"com.android.internal.telephony.BaseCommands.unSetOnIccSmsFull(Handler)",1,1,1
"com.android.internal.telephony.BaseCommands.unSetOnNITZTime(Handler)",1,1,1
"com.android.internal.telephony.BaseCommands.unSetOnNewCdmaSms(Handler)",1,1,1
"com.android.internal.telephony.BaseCommands.unSetOnNewGsmBroadcastSms(Handler)",1,1,1
"com.android.internal.telephony.BaseCommands.unSetOnNewGsmSms(Handler)",1,1,1
"com.android.internal.telephony.BaseCommands.unSetOnRestrictedStateChanged(Handler)",1,1,1
"com.android.internal.telephony.BaseCommands.unSetOnSignalStrengthUpdate(Handler)",1,1,1
"com.android.internal.telephony.BaseCommands.unSetOnSmsOnSim(Handler)",1,1,1
"com.android.internal.telephony.BaseCommands.unSetOnSmsStatus(Handler)",1,1,1
"com.android.internal.telephony.BaseCommands.unSetOnSuppServiceNotification(Handler)",1,1,1
"com.android.internal.telephony.BaseCommands.unSetOnUSSD(Handler)",1,1,1
"com.android.internal.telephony.BaseCommands.unSetOnUnsolOemHookRaw(Handler)",1,1,1
"com.android.internal.telephony.BaseCommands.unregisterForAvailable(Handler)",1,1,1
"com.android.internal.telephony.BaseCommands.unregisterForCallStateChanged(Handler)",1,1,1
"com.android.internal.telephony.BaseCommands.unregisterForCallWaitingInfo(Handler)",1,1,1
"com.android.internal.telephony.BaseCommands.unregisterForCdmaOtaProvision(Handler)",1,1,1
"com.android.internal.telephony.BaseCommands.unregisterForCdmaPrlChanged(Handler)",1,1,1
