Method,ev(G),iv(G),v(G)
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.DMTreeInfo.DMTreeInfo()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.DMTreeInfo.containsNode(NodeLinkId)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.DMTreeInfo.getTreeInfo()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.DMTreeInfo.getTreeNodeByLinkId(NodeLinkId)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.DMTreeInfo.getTreeNodes()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.DMTreeInfo.insertNodeInto(MutableTreeNode,MutableTreeNode,int)",3,1,3
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.DMTreeInfo.removeNodeFromParent(MutableTreeNode)",2,2,3
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.DMTreeInfo.setTreeInfo(NodeInformation)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.DMTreeInfo.toString()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.DMTreeNode.getLinkId()",1,2,2
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.DMTreeNode.getNodeInformation()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.DMTreeNode.hashCode()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.DMTreeNode.setNodeInformation(NodeInformation)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.DMTreeNode.toString()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.DeploymentMaster()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.addOrganisationTree(DMTreeInfo)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.clear()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.getDeploymentLocation()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.getIntroductoryText()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.getOrganisationTree(NodeLinkId)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.getOrganisationTrees()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.setDeploymentLocation(DeploymentLocation)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.setIntroductoryText(String)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.toString()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.DSNodeInfo.getNodeLinkId()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.DSNodeInfo.getNodeRenderingInformation()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.DSNodeInfo.setNodeLinkId(NodeLinkId)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.DSNodeInfo.setNodeRenderingInformation(NodeRenderingInformation)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.DSTreeInfo.DSTreeInfo()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.DSTreeInfo.addSpecificNodeInfo(DSNodeInfo)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.DSTreeInfo.clearSpecificNodeInfo()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.DSTreeInfo.getComputedRenderingInformation(NodeLinkId)",2,2,2
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.DSTreeInfo.getDefaultRenderingInformation()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.DSTreeInfo.getSpecificNodeInfo(NodeLinkId)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.DSTreeInfo.getTreeLinkId()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.DSTreeInfo.iterator()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.DSTreeInfo.removeSpecificNodeInfo(NodeLinkId)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.DSTreeInfo.setDefaultRenderingInformation(NodeRenderingInformation)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.DSTreeInfo.setTreeLinkId(NodeLinkId)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.DeploymentSource()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.addOrganisationTree(DSTreeInfo)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.getDeploymentLocation()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.getIntroductoryText()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.getOrganisationTree(NodeLinkId)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.getOrganisationTrees()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.removeTrees()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.setDeploymentLocation(DeploymentLocation)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.setIntroductoryText(String)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.ExternalResourceSource.ExternalResourceSource()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.ExternalResourceSource.getAttribution()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.ExternalResourceSource.getWebEmbedding()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.ExternalResourceSource.setAttribution(String)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.ExternalResourceSource.setWebEmbedding(String)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.FlashMovieSettings.FlashMovieSettings()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.FlashMovieSettings.getAlign()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.FlashMovieSettings.getBgcolor()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.FlashMovieSettings.getFlashvars()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.FlashMovieSettings.getHeight()",1,1,1
