Method,ev(G),iv(G),v(G)
"android.support.v4.app.FragmentManagerImpl.findFragmentById(int)",7,5,9
"android.support.v4.app.FragmentManagerImpl.findFragmentByTag(String)",7,7,11
"android.support.v4.app.FragmentManagerImpl.findFragmentByWho(String)",4,4,6
"android.support.v4.app.FragmentManagerImpl.freeBackStackIndex(int)",1,2,3
"android.support.v4.app.FragmentManagerImpl.getBackStackEntryAt(int)",1,1,1
"android.support.v4.app.FragmentManagerImpl.getBackStackEntryCount()",1,2,2
"android.support.v4.app.FragmentManagerImpl.getFragment(Bundle,String)",4,1,4
"android.support.v4.app.FragmentManagerImpl.hideFragment(Fragment,int,int)",1,5,8
"android.support.v4.app.FragmentManagerImpl.loadAnimation(Fragment,int,boolean,int)",13,10,15
"android.support.v4.app.FragmentManagerImpl.logViewHierarchy(String,View)",4,6,12
"android.support.v4.app.FragmentManagerImpl.makeActive(Fragment)",2,4,6
"android.support.v4.app.FragmentManagerImpl.makeFadeAnimation(Context,float,float)",1,1,1
"android.support.v4.app.FragmentManagerImpl.makeInactive(Fragment)",2,2,4
"android.support.v4.app.FragmentManagerImpl.makeOpenCloseAnimation(Context,float,float,float,float)",1,1,1
"android.support.v4.app.FragmentManagerImpl.moveToState(Fragment)",1,1,1
"android.support.v4.app.FragmentManagerImpl.moveToState(Fragment,int,int,int,boolean)",31,56,81
"android.support.v4.app.FragmentManagerImpl.moveToState(int,boolean)",1,1,1
"android.support.v4.app.FragmentManagerImpl.moveToState(int,int,int,boolean)",3,7,13
"android.support.v4.app.FragmentManagerImpl.noteStateNotSaved()",1,1,1
"android.support.v4.app.FragmentManagerImpl.performPendingDeferredStart(Fragment)",3,2,3
"android.support.v4.app.FragmentManagerImpl.popBackStack()",1,1,1
"android.support.v4.app.FragmentManagerImpl.popBackStack(String,int)",1,1,1
"android.support.v4.app.FragmentManagerImpl.popBackStack(int,int)",2,1,2
"android.support.v4.app.FragmentManagerImpl.popBackStackImmediate()",1,1,1
"android.support.v4.app.FragmentManagerImpl.popBackStackImmediate(String,int)",1,1,1
"android.support.v4.app.FragmentManagerImpl.popBackStackImmediate(int,int)",2,1,2
"android.support.v4.app.FragmentManagerImpl.popBackStackState(Handler,String,int,int)",13,12,24
"android.support.v4.app.FragmentManagerImpl.putFragment(Bundle,String,Fragment)",2,1,2
"android.support.v4.app.FragmentManagerImpl.removeFragment(Fragment,int,int)",1,4,8
"android.support.v4.app.FragmentManagerImpl.removeOnBackStackChangedListener(OnBackStackChangedListener)",1,2,2
"android.support.v4.app.FragmentManagerImpl.reportBackStackChanged()",1,3,3
"android.support.v4.app.FragmentManagerImpl.restoreAllState(Parcelable,ArrayList<Fragment>)",6,22,26
"android.support.v4.app.FragmentManagerImpl.retainNonConfig()",1,5,8
"android.support.v4.app.FragmentManagerImpl.reverseTransit(int)",2,2,4
"android.support.v4.app.FragmentManagerImpl.saveAllState()",13,21,25
"android.support.v4.app.FragmentManagerImpl.saveFragmentBasicState(Fragment)",1,4,8
"android.support.v4.app.FragmentManagerImpl.saveFragmentInstanceState(Fragment)",3,2,4
"android.support.v4.app.FragmentManagerImpl.saveFragmentViewState(Fragment)",2,2,4
"android.support.v4.app.FragmentManagerImpl.setBackStackIndex(int,BackStackRecord)",1,6,8
"android.support.v4.app.FragmentManagerImpl.showFragment(Fragment,int,int)",1,5,8
"android.support.v4.app.FragmentManagerImpl.startPendingDeferredFragments()",2,3,4
"android.support.v4.app.FragmentManagerImpl.throwNoViewFound(Fragment)",1,5,5
"android.support.v4.app.FragmentManagerImpl.toString()",1,1,1
"android.support.v4.app.FragmentManagerImpl.transitToStyleIndex(int,boolean)",2,2,7
"android.support.v4.app.FragmentManagerState.FragmentManagerState()",1,1,1
"android.support.v4.app.FragmentManagerState.FragmentManagerState(Parcel)",1,1,1
"android.support.v4.app.FragmentManagerState.describeContents()",1,1,1
"android.support.v4.app.FragmentManagerState.writeToParcel(Parcel,int)",1,1,1
"android.support.v4.app.FragmentPagerAdapter.FragmentPagerAdapter(FragmentManager)",1,1,1
"android.support.v4.app.FragmentPagerAdapter.destroyItem(ViewGroup,int,Object)",1,3,3
"android.support.v4.app.FragmentPagerAdapter.finishUpdate(ViewGroup)",1,2,2
"android.support.v4.app.FragmentPagerAdapter.getItemId(int)",1,1,1
"android.support.v4.app.FragmentPagerAdapter.instantiateItem(ViewGroup,int)",1,6,6
"android.support.v4.app.FragmentPagerAdapter.isViewFromObject(View,Object)",1,1,1
"android.support.v4.app.FragmentPagerAdapter.makeFragmentName(int,long)",1,1,1
"android.support.v4.app.FragmentPagerAdapter.restoreState(Parcelable,ClassLoader)",1,1,1
"android.support.v4.app.FragmentPagerAdapter.saveState()",1,1,1
"android.support.v4.app.FragmentPagerAdapter.setPrimaryItem(ViewGroup,int,Object)",1,4,4
"android.support.v4.app.FragmentPagerAdapter.startUpdate(ViewGroup)",1,1,1
"android.support.v4.app.FragmentState.FragmentState(Fragment)",1,1,1
"android.support.v4.app.FragmentState.FragmentState(Parcel)",1,1,1
"android.support.v4.app.FragmentState.describeContents()",1,1,1
"android.support.v4.app.FragmentState.instantiate(FragmentActivity)",2,4,5
"android.support.v4.app.FragmentState.writeToParcel(Parcel,int)",1,1,4
"android.support.v4.app.FragmentStatePagerAdapter.FragmentStatePagerAdapter(FragmentManager)",1,1,1
"android.support.v4.app.FragmentStatePagerAdapter.destroyItem(ViewGroup,int,Object)",1,4,4
"android.support.v4.app.FragmentStatePagerAdapter.finishUpdate(ViewGroup)",1,2,2
"android.support.v4.app.FragmentStatePagerAdapter.instantiateItem(ViewGroup,int)",3,7,8
"android.support.v4.app.FragmentStatePagerAdapter.isViewFromObject(View,Object)",1,1,1
"android.support.v4.app.FragmentStatePagerAdapter.restoreState(Parcelable,ClassLoader)",1,8,8
"android.support.v4.app.FragmentStatePagerAdapter.saveState()",1,4,5
"android.support.v4.app.FragmentStatePagerAdapter.setPrimaryItem(ViewGroup,int,Object)",1,4,4
"android.support.v4.app.FragmentStatePagerAdapter.startUpdate(ViewGroup)",1,1,1
"android.support.v4.app.ListFragment.ListFragment()",1,1,1
"android.support.v4.app.ListFragment.ensureList()",6,7,11
"android.support.v4.app.ListFragment.getListAdapter()",1,1,1
"android.support.v4.app.ListFragment.getListView()",1,1,1
"android.support.v4.app.ListFragment.getSelectedItemId()",1,1,1
"android.support.v4.app.ListFragment.getSelectedItemPosition()",1,1,1
"android.support.v4.app.ListFragment.onCreateView(LayoutInflater,ViewGroup,Bundle)",1,1,1
"android.support.v4.app.ListFragment.onDestroyView()",1,1,1
"android.support.v4.app.ListFragment.onListItemClick(ListView,View,int,long)",1,1,1
"android.support.v4.app.ListFragment.onViewCreated(View,Bundle)",1,1,1
"android.support.v4.app.ListFragment.setEmptyText(CharSequence)",2,2,3
"android.support.v4.app.ListFragment.setListAdapter(ListAdapter)",1,3,4
"android.support.v4.app.ListFragment.setListShown(boolean)",1,1,1
"android.support.v4.app.ListFragment.setListShown(boolean,boolean)",3,4,6
"android.support.v4.app.ListFragment.setListShownNoAnimation(boolean)",1,1,1
"android.support.v4.app.ListFragment.setSelection(int)",1,1,1
"android.support.v4.app.LoaderManager.enableDebugLogging(boolean)",1,1,1
"android.support.v4.app.LoaderManager.hasRunningLoaders()",1,1,1
"android.support.v4.app.LoaderManagerImpl.LoaderInfo.LoaderInfo(int,Bundle,LoaderCallbacks<Object>)",1,1,1
"android.support.v4.app.LoaderManagerImpl.LoaderInfo.callOnLoadFinished(Loader<Object>,Object)",1,3,5
"android.support.v4.app.LoaderManagerImpl.LoaderInfo.destroy()",1,7,12
"android.support.v4.app.LoaderManagerImpl.LoaderInfo.dump(String,FileDescriptor,PrintWriter,String[])",1,4,5
"android.support.v4.app.LoaderManagerImpl.LoaderInfo.finishRetain()",1,6,8
"android.support.v4.app.LoaderManagerImpl.LoaderInfo.onLoadComplete(Loader<Object>,Object)",4,13,15
"android.support.v4.app.LoaderManagerImpl.LoaderInfo.reportStart()",1,4,4
"android.support.v4.app.LoaderManagerImpl.LoaderInfo.retain()",1,2,2
"android.support.v4.app.LoaderManagerImpl.LoaderInfo.start()",5,6,11
"android.support.v4.app.LoaderManagerImpl.LoaderInfo.stop()",1,4,5
"android.support.v4.app.LoaderManagerImpl.LoaderInfo.toString()",1,1,1
"android.support.v4.app.LoaderManagerImpl.LoaderManagerImpl(FragmentActivity,boolean)",1,1,1
"android.support.v4.app.LoaderManagerImpl.createAndInstallLoader(int,Bundle,LoaderCallbacks<Object>)",1,1,1
"android.support.v4.app.LoaderManagerImpl.createLoader(int,Bundle,LoaderCallbacks<Object>)",1,1,1
"android.support.v4.app.LoaderManagerImpl.destroyLoader(int)",2,6,7
"android.support.v4.app.LoaderManagerImpl.doDestroy()",1,6,6
"android.support.v4.app.LoaderManagerImpl.doReportNextStart()",1,2,2
"android.support.v4.app.LoaderManagerImpl.doReportStart()",1,2,2
"android.support.v4.app.LoaderManagerImpl.doRetain()",2,4,4
"android.support.v4.app.LoaderManagerImpl.doStart()",2,4,4
"android.support.v4.app.LoaderManagerImpl.doStop()",2,4,4
"android.support.v4.app.LoaderManagerImpl.dump(String,FileDescriptor,PrintWriter,String[])",1,5,5
"android.support.v4.app.LoaderManagerImpl.finishRetain()",1,4,4
"android.support.v4.app.LoaderManagerImpl.getLoader(int)",4,1,4
