Complexity metrics,Sex, 27 out 2017 13:55:11 BRST
Method,ev(G),iv(G),v(G)
"com.microstar.xml.XmlParser.parseXMLDecl(boolean)",1,4,4
"com.microstar.xml.XmlParser.popInput()",3,8,11
"com.microstar.xml.XmlParser.pushCharArray(String,char[],int,int)",1,1,1
"com.microstar.xml.XmlParser.pushInput(String)",2,4,5
"com.microstar.xml.XmlParser.pushString(String,String)",1,1,1
"com.microstar.xml.XmlParser.pushURL(String,String,String,Reader,InputStream,String)",2,10,19
"com.microstar.xml.XmlParser.read8bitEncodingDeclaration()",4,4,5
"com.microstar.xml.XmlParser.readAttType()",3,4,4
"com.microstar.xml.XmlParser.readCh()",4,7,11
"com.microstar.xml.XmlParser.readDataChunk()",3,5,13
"com.microstar.xml.XmlParser.readExternalIds(boolean)",1,6,6
"com.microstar.xml.XmlParser.readLiteral(int)",7,9,13
"com.microstar.xml.XmlParser.readNmtoken(boolean)",7,8,12
"com.microstar.xml.XmlParser.require(String)",1,2,2
"com.microstar.xml.XmlParser.require(char)",1,2,2
"com.microstar.xml.XmlParser.requireWhitespace()",1,2,2
"com.microstar.xml.XmlParser.setAttribute(String,String,int,String,String,int)",2,2,3
"com.microstar.xml.XmlParser.setElement(String,int,String,Hashtable)",3,4,7
"com.microstar.xml.XmlParser.setEntity(String,int,String,String,String,String)",1,2,2
"com.microstar.xml.XmlParser.setExternalDataEntity(String,String,String,String)",1,1,1
"com.microstar.xml.XmlParser.setExternalTextEntity(String,String,String)",1,1,1
"com.microstar.xml.XmlParser.setHandler(XmlHandler)",1,1,1
"com.microstar.xml.XmlParser.setInternalEntity(String,String)",1,1,1
"com.microstar.xml.XmlParser.setNotation(String,String,String)",1,2,2
"com.microstar.xml.XmlParser.skipUntil(String)",1,2,2
"com.microstar.xml.XmlParser.skipWhitespace()",5,3,11
"com.microstar.xml.XmlParser.tryEncoding(byte[],byte,byte)",1,1,2
"com.microstar.xml.XmlParser.tryEncoding(byte[],byte,byte,byte,byte)",1,1,4
"com.microstar.xml.XmlParser.tryEncodingDecl(boolean)",1,4,4
"com.microstar.xml.XmlParser.tryRead(String)",3,4,4
"com.microstar.xml.XmlParser.tryRead(char)",2,2,2
"com.microstar.xml.XmlParser.tryWhitespace()",2,2,2
"com.microstar.xml.XmlParser.unread(char)",1,2,3
"com.microstar.xml.XmlParser.unread(char[],int)",1,2,4
"doclet.GenerateTocXML.processClass(Writer,String,String)",1,1,1
"doclet.GenerateTocXML.processPackage(Writer,PackageDoc)",1,3,3
"doclet.GenerateTocXML.start(RootDoc)",1,3,3
"gnu.regexp.CharIndexedCharArray.CharIndexedCharArray(char[],int)",1,1,1
"gnu.regexp.CharIndexedCharArray.charAt(int)",1,1,3
"gnu.regexp.CharIndexedCharArray.isValid()",1,1,1
"gnu.regexp.CharIndexedCharArray.move(int)",1,1,1
"gnu.regexp.CharIndexedInputStream.CharIndexedInputStream(InputStream,int)",1,2,3
"gnu.regexp.CharIndexedInputStream.charAt(int)",7,8,13
"gnu.regexp.CharIndexedInputStream.isValid()",1,1,1
"gnu.regexp.CharIndexedInputStream.move(int)",1,2,3
"gnu.regexp.CharIndexedInputStream.next()",3,3,5
"gnu.regexp.CharIndexedReader.CharIndexedReader(Reader,int)",1,2,3
"gnu.regexp.CharIndexedReader.charAt(int)",9,5,13
"gnu.regexp.CharIndexedReader.isValid()",1,1,1
"gnu.regexp.CharIndexedReader.move(int)",1,2,3
"gnu.regexp.CharIndexedReader.next()",3,3,5
"gnu.regexp.CharIndexedString.CharIndexedString(String,int)",1,1,1
"gnu.regexp.CharIndexedString.charAt(int)",1,2,3
"gnu.regexp.CharIndexedString.isValid()",1,1,1
"gnu.regexp.CharIndexedString.move(int)",1,1,1
"gnu.regexp.CharIndexedStringBuffer.CharIndexedStringBuffer(StringBuffer,int)",1,1,1
"gnu.regexp.CharIndexedStringBuffer.charAt(int)",1,3,3
"gnu.regexp.CharIndexedStringBuffer.isValid()",1,1,1
"gnu.regexp.CharIndexedStringBuffer.move(int)",1,1,1
"gnu.regexp.RE.RE()",1,1,1
"gnu.regexp.RE.RE(Object)",1,1,1
"gnu.regexp.RE.RE(Object,int)",1,1,1
"gnu.regexp.RE.RE(Object,int,RESyntax)",1,1,1
"gnu.regexp.RE.RE(Object,int,RESyntax,int,int)",1,1,1
"gnu.regexp.RE.RE(REToken,REToken,int,int,int)",1,1,1
"gnu.regexp.RE.addToken(REToken)",2,2,4
"gnu.regexp.RE.chain(REToken)",1,1,1
"gnu.regexp.RE.dump(StringBuffer)",1,3,3
"gnu.regexp.RE.getAllMatches(Object)",1,1,1
"gnu.regexp.RE.getAllMatches(Object,int)",1,1,1
"gnu.regexp.RE.getAllMatches(Object,int,int)",1,1,1
"gnu.regexp.RE.getAllMatchesImpl(CharIndexed,int,int)",3,3,4
"gnu.regexp.RE.getCharUnit(char[],int,CharUnit)",3,3,3
