Complexity metrics,Ter, 24 out 2017 16:51:12 BRST
Method,ev(G),iv(G),v(G)
"com.android.chimpchat.core.By.accessibilityIds(int,int)",1,1,1
"com.android.chimpchat.core.By.id(String)",1,1,1
"com.android.chimpchat.core.By.text(String)",1,1,1
"com.android.chimpchat.core.ChimpException.ChimpException(String)",1,1,1
"com.android.chimpchat.core.ChimpImageBase.BufferedImageChimpImage.BufferedImageChimpImage(BufferedImage)",1,1,1
"com.android.chimpchat.core.ChimpImageBase.BufferedImageChimpImage.createBufferedImage()",1,1,1
"com.android.chimpchat.core.ChimpImageBase.convertSnapshot()",1,1,1
"com.android.chimpchat.core.ChimpImageBase.convertToBytes(String)",1,1,2
"com.android.chimpchat.core.ChimpImageBase.getBufferedImage()",3,2,3
"com.android.chimpchat.core.ChimpImageBase.getPixel(int,int)",1,1,1
"com.android.chimpchat.core.ChimpImageBase.getSubImage(int,int,int,int)",1,1,1
"com.android.chimpchat.core.ChimpImageBase.loadImageFromFile(String)",3,5,5
"com.android.chimpchat.core.ChimpImageBase.sameAs(IChimpImage,double)",3,3,6
"com.android.chimpchat.core.ChimpImageBase.writeToFile(String,String)",4,4,5
"com.android.chimpchat.core.ChimpImageBase.writeToFileHelper(String,String)",1,1,2
"com.android.chimpchat.core.ChimpRect.ChimpRect()",1,1,1
"com.android.chimpchat.core.ChimpRect.ChimpRect(int,int,int,int)",1,1,1
"com.android.chimpchat.core.ChimpRect.equals(Object)",3,1,6
"com.android.chimpchat.core.ChimpRect.getCenter()",1,1,1
"com.android.chimpchat.core.ChimpRect.getHeight()",1,1,1
"com.android.chimpchat.core.ChimpRect.getWidth()",1,1,1
"com.android.chimpchat.core.ChimpRect.toString()",1,1,1
"com.android.chimpchat.core.ChimpView.ChimpView(String,List<String>)",1,1,1
"com.android.chimpchat.core.ChimpView.getAccessibilityIds()",2,3,3
"com.android.chimpchat.core.ChimpView.getChecked()",1,1,1
"com.android.chimpchat.core.ChimpView.getChildren()",2,3,3
"com.android.chimpchat.core.ChimpView.getEnabled()",1,1,1
"com.android.chimpchat.core.ChimpView.getFocused()",1,1,1
"com.android.chimpchat.core.ChimpView.getLocation()",2,2,3
"com.android.chimpchat.core.ChimpView.getParent()",2,2,2
"com.android.chimpchat.core.ChimpView.getSelected()",1,1,1
"com.android.chimpchat.core.ChimpView.getText()",1,1,1
"com.android.chimpchat.core.ChimpView.getViewClass()",1,1,1
"com.android.chimpchat.core.ChimpView.queryView(String)",1,2,2
"com.android.chimpchat.core.ChimpView.setFocused(boolean)",1,1,1
"com.android.chimpchat.core.ChimpView.setManager(ChimpManager)",1,1,1
"com.android.chimpchat.core.ChimpView.setSelected(boolean)",1,1,1
"com.android.chimpchat.core.MultiSelectorText.MultiSelectorText(String)",1,1,1
"com.android.chimpchat.core.MultiSelectorText.getViews(ChimpManager)",2,4,4
"com.android.chimpchat.core.PhysicalButton.PhysicalButton(String)",1,1,1
"com.android.chimpchat.core.PhysicalButton.getKeyName()",1,1,1
"com.android.chimpchat.core.SelectorAccessibilityIds.SelectorAccessibilityIds(int,int)",1,1,1
"com.android.chimpchat.core.SelectorAccessibilityIds.getView(ChimpManager)",1,1,1
"com.android.chimpchat.core.SelectorId.SelectorId(String)",1,1,1
"com.android.chimpchat.core.SelectorId.getView(ChimpManager)",1,1,1
"com.android.chimpchat.core.TouchPressType.TouchPressType(String)",1,1,1
"com.android.chimpchat.core.TouchPressType.fromIdentifier(String)",1,1,1
"com.android.chimpchat.core.TouchPressType.getIdentifier()",1,1,1
"com.android.chimpchat.hierarchyviewer.HierarchyViewer.HierarchyViewer(IDevice)",1,1,1
"com.android.chimpchat.hierarchyviewer.HierarchyViewer.findViewById(String)",2,1,2
"com.android.chimpchat.hierarchyviewer.HierarchyViewer.findViewById(String,ViewNode)",4,2,4
"com.android.chimpchat.hierarchyviewer.HierarchyViewer.getAbsoluteCenterOfView(ViewNode)",1,1,1
"com.android.chimpchat.hierarchyviewer.HierarchyViewer.getAbsolutePositionOfView(ViewNode)",1,1,2
"com.android.chimpchat.hierarchyviewer.HierarchyViewer.getFocusedWindowName()",3,3,3
"com.android.chimpchat.hierarchyviewer.HierarchyViewer.getText(ViewNode)",3,1,3
"com.android.chimpchat.hierarchyviewer.HierarchyViewer.setupViewServer()",4,4,5
"com.android.chimpchat.hierarchyviewer.HierarchyViewer.visible(ViewNode)",1,3,3
"com.android.ddmlib.AdbCommandRejectedException.AdbCommandRejectedException(String)",1,1,1
"com.android.ddmlib.AdbCommandRejectedException.AdbCommandRejectedException(String,boolean)",1,1,1
"com.android.ddmlib.AdbCommandRejectedException.isDeviceOffline()",1,1,1
"com.android.ddmlib.AdbCommandRejectedException.wasErrorDuringDeviceSelection()",1,1,1
"com.android.ddmlib.AdbHelper.AdbHelper()",1,1,1
"com.android.ddmlib.AdbHelper.AdbResponse.AdbResponse()",1,1,1
"com.android.ddmlib.AdbHelper.createAdbForwardRequest(String,int)",1,1,2
"com.android.ddmlib.AdbHelper.createForward(InetSocketAddress,Device,int,int)",2,3,3
"com.android.ddmlib.AdbHelper.createJdwpForwardRequest(int)",1,1,1
"com.android.ddmlib.AdbHelper.createPassThroughConnection(InetSocketAddress,Device,int)",2,3,4
"com.android.ddmlib.AdbHelper.executeRemoteCommand(InetSocketAddress,String,IDevice,IShellOutputReceiver,int)",7,9,12
"com.android.ddmlib.AdbHelper.formAdbRequest(String)",1,2,2
"com.android.ddmlib.AdbHelper.getFrameBuffer(InetSocketAddress,Device)",3,3,4
"com.android.ddmlib.AdbHelper.isOkay(byte[])",1,1,4
"com.android.ddmlib.AdbHelper.open(InetSocketAddress,Device,int)",2,3,4
"com.android.ddmlib.AdbHelper.read(SocketChannel,byte[])",1,1,1
"com.android.ddmlib.AdbHelper.read(SocketChannel,byte[],int,int)",5,5,8
"com.android.ddmlib.AdbHelper.readAdbResponse(SocketChannel,boolean)",2,3,5
