Complexity metrics,Qui, 26 out 2017 16:49:18 BRST
Method,ev(G),iv(G),v(G)
"org.apache.james.mime4j.field.Fields.contentDisposition(String,String,long,Date,Date,Date)",1,6,6
"org.apache.james.mime4j.field.Fields.contentTransferEncoding(String)",1,1,1
"org.apache.james.mime4j.field.Fields.contentType(String)",1,1,1
"org.apache.james.mime4j.field.Fields.contentType(String,Map<String, String>)",3,4,5
"org.apache.james.mime4j.field.Fields.date(Date)",1,1,1
"org.apache.james.mime4j.field.Fields.date(String,Date)",1,1,1
"org.apache.james.mime4j.field.Fields.date(String,Date,TimeZone)",1,1,1
"org.apache.james.mime4j.field.Fields.date0(String,Date,TimeZone)",1,1,1
"org.apache.james.mime4j.field.Fields.encodeAddresses(Iterable<? extends Address>)",1,3,3
"org.apache.james.mime4j.field.Fields.from(Iterable<Mailbox>)",1,1,1
"org.apache.james.mime4j.field.Fields.from(Mailbox)",1,1,1
"org.apache.james.mime4j.field.Fields.from(Mailbox...)",1,1,1
"org.apache.james.mime4j.field.Fields.isValidDispositionType(String)",2,1,2
"org.apache.james.mime4j.field.Fields.isValidMimeType(String)",3,2,4
"org.apache.james.mime4j.field.Fields.mailbox(String,Mailbox)",1,1,1
"org.apache.james.mime4j.field.Fields.mailbox0(String,Mailbox)",1,1,1
"org.apache.james.mime4j.field.Fields.mailboxList(String,Iterable<Mailbox>)",1,1,1
"org.apache.james.mime4j.field.Fields.mailboxList0(String,Iterable<Mailbox>)",1,1,1
"org.apache.james.mime4j.field.Fields.messageId(String)",1,1,1
"org.apache.james.mime4j.field.Fields.parse(FieldParser,String,String)",1,1,1
"org.apache.james.mime4j.field.Fields.replyTo(Address)",1,1,1
"org.apache.james.mime4j.field.Fields.replyTo(Address...)",1,1,1
"org.apache.james.mime4j.field.Fields.replyTo(Iterable<Address>)",1,1,1
"org.apache.james.mime4j.field.Fields.sender(Mailbox)",1,1,1
"org.apache.james.mime4j.field.Fields.subject(String)",1,1,1
"org.apache.james.mime4j.field.Fields.to(Address)",1,1,1
"org.apache.james.mime4j.field.Fields.to(Address...)",1,1,1
"org.apache.james.mime4j.field.Fields.to(Iterable<Address>)",1,1,1
"org.apache.james.mime4j.field.MailboxField.MailboxField(String,String,ByteSequence)",1,1,1
"org.apache.james.mime4j.field.MailboxField.getMailbox()",1,2,2
"org.apache.james.mime4j.field.MailboxField.getParseException()",1,2,2
"org.apache.james.mime4j.field.MailboxField.parse()",1,4,4
"org.apache.james.mime4j.field.MailboxListField.MailboxListField(String,String,ByteSequence)",1,1,1
"org.apache.james.mime4j.field.MailboxListField.getMailboxList()",1,2,2
"org.apache.james.mime4j.field.MailboxListField.getParseException()",1,2,2
"org.apache.james.mime4j.field.MailboxListField.parse()",1,3,3
"org.apache.james.mime4j.field.ParseException.ParseException(String)",1,1,1
"org.apache.james.mime4j.field.ParseException.ParseException(String,Throwable)",1,1,1
"org.apache.james.mime4j.field.ParseException.ParseException(Throwable)",1,1,1
"org.apache.james.mime4j.field.UnstructuredField.UnstructuredField(String,String,ByteSequence)",1,1,1
"org.apache.james.mime4j.field.UnstructuredField.getValue()",1,2,2
"org.apache.james.mime4j.field.UnstructuredField.parse()",1,1,1
"org.apache.james.mime4j.field.address.Address.addMailboxesTo(List<Mailbox>)",1,1,1
"org.apache.james.mime4j.field.address.Address.getDisplayString()",1,1,1
"org.apache.james.mime4j.field.address.Address.parse(String)",1,1,2
"org.apache.james.mime4j.field.address.Address.toString()",1,1,1
"org.apache.james.mime4j.field.address.AddressList.AddressList(List<? extends Address>,boolean)",1,2,3
"org.apache.james.mime4j.field.address.AddressList.flatten()",4,2,5
"org.apache.james.mime4j.field.address.AddressList.get(int)",1,1,1
"org.apache.james.mime4j.field.address.AddressList.main(String[])",3,6,6
"org.apache.james.mime4j.field.address.AddressList.parse(String)",1,1,1
"org.apache.james.mime4j.field.address.AddressList.print()",1,2,2
"org.apache.james.mime4j.field.address.AddressList.size()",1,1,1
"org.apache.james.mime4j.field.address.Builder.ChildNodeIterator.ChildNodeIterator(SimpleNode)",1,1,1
"org.apache.james.mime4j.field.address.Builder.ChildNodeIterator.hasNext()",1,1,1
"org.apache.james.mime4j.field.address.Builder.ChildNodeIterator.next()",1,1,1
"org.apache.james.mime4j.field.address.Builder.ChildNodeIterator.remove()",1,1,1
"org.apache.james.mime4j.field.address.Builder.addSpecials(StringBuilder,Token)",1,2,2
"org.apache.james.mime4j.field.address.Builder.buildAddrSpec(ASTaddr_spec)",1,1,1
"org.apache.james.mime4j.field.address.Builder.buildAddrSpec(DomainList,ASTaddr_spec)",1,1,1
"org.apache.james.mime4j.field.address.Builder.buildAddress(ASTaddress)",6,6,6
"org.apache.james.mime4j.field.address.Builder.buildAddressList(ASTaddress_list)",1,2,2
"org.apache.james.mime4j.field.address.Builder.buildAngleAddr(ASTangle_addr)",4,3,4
"org.apache.james.mime4j.field.address.Builder.buildGroupBody(ASTgroup_body)",3,3,3
"org.apache.james.mime4j.field.address.Builder.buildMailbox(ASTmailbox)",4,4,4
"org.apache.james.mime4j.field.address.Builder.buildNameAddr(ASTname_addr)",3,3,3
"org.apache.james.mime4j.field.address.Builder.buildRoute(ASTroute)",3,3,3
"org.apache.james.mime4j.field.address.Builder.buildString(SimpleNode,boolean)",1,3,3
"org.apache.james.mime4j.field.address.Builder.getInstance()",1,1,1
"org.apache.james.mime4j.field.address.DomainList.DomainList(List<String>,boolean)",1,2,3
"org.apache.james.mime4j.field.address.DomainList.get(int)",1,1,1
"org.apache.james.mime4j.field.address.DomainList.size()",1,1,1
"org.apache.james.mime4j.field.address.DomainList.toRouteString()",1,3,3
"org.apache.james.mime4j.field.address.DomainList.toString()",1,1,1
"org.apache.james.mime4j.field.address.Group.Group(String,Collection<Mailbox>)",1,1,1
"org.apache.james.mime4j.field.address.Group.Group(String,Mailbox...)",1,1,1
"org.apache.james.mime4j.field.address.Group.Group(String,MailboxList)",3,1,3
"org.apache.james.mime4j.field.address.Group.doAddMailboxesTo(List<Mailbox>)",1,2,2
"org.apache.james.mime4j.field.address.Group.getDisplayString(boolean)",1,3,3
"org.apache.james.mime4j.field.address.Group.getEncodedString()",1,3,3
"org.apache.james.mime4j.field.address.Group.getMailboxes()",1,1,1
"org.apache.james.mime4j.field.address.Group.getName()",1,1,1
"org.apache.james.mime4j.field.address.Group.parse(String)",2,1,2
"org.apache.james.mime4j.field.address.Mailbox.Mailbox(DomainList,String,String)",1,1,1
"org.apache.james.mime4j.field.address.Mailbox.Mailbox(String,DomainList,String,String)",2,4,8
"org.apache.james.mime4j.field.address.Mailbox.Mailbox(String,Mailbox)",1,1,1
"org.apache.james.mime4j.field.address.Mailbox.Mailbox(String,String)",1,1,1
"org.apache.james.mime4j.field.address.Mailbox.Mailbox(String,String,String)",1,1,1
"org.apache.james.mime4j.field.address.Mailbox.doAddMailboxesTo(List<Mailbox>)",1,1,1
"org.apache.james.mime4j.field.address.Mailbox.equals(Object)",3,1,3
"org.apache.james.mime4j.field.address.Mailbox.getAddress()",2,1,2
"org.apache.james.mime4j.field.address.Mailbox.getCanonicalizedAddress()",2,2,2
"org.apache.james.mime4j.field.address.Mailbox.getDisplayString(boolean)",1,6,7
"org.apache.james.mime4j.field.address.Mailbox.getDomain()",1,1,1
"org.apache.james.mime4j.field.address.Mailbox.getEncodedString()",1,4,4
"org.apache.james.mime4j.field.address.Mailbox.getLocalPart()",1,1,1
"org.apache.james.mime4j.field.address.Mailbox.getName()",1,1,1
"org.apache.james.mime4j.field.address.Mailbox.getRoute()",1,1,1
"org.apache.james.mime4j.field.address.Mailbox.hashCode()",1,1,1
"org.apache.james.mime4j.field.address.Mailbox.parse(String)",1,1,2
"org.apache.james.mime4j.field.address.MailboxList.MailboxList(List<Mailbox>,boolean)",1,2,3
"org.apache.james.mime4j.field.address.MailboxList.get(int)",1,1,1
"org.apache.james.mime4j.field.address.MailboxList.print()",1,2,2
"org.apache.james.mime4j.field.address.MailboxList.size()",1,1,1
"org.apache.james.mime4j.field.address.parser.ParseException.ParseException()",1,1,1
"org.apache.james.mime4j.field.address.parser.ParseException.ParseException(String)",1,1,1
"org.apache.james.mime4j.field.address.parser.ParseException.ParseException(Throwable)",1,1,1
"org.apache.james.mime4j.field.address.parser.ParseException.ParseException(Token,int[][],String[])",1,1,1
"org.apache.james.mime4j.field.address.parser.ParseException.add_escapes(String)",4,5,14
"org.apache.james.mime4j.field.address.parser.ParseException.getMessage()",4,6,10
"org.apache.james.mime4j.field.contentdisposition.parser.ParseException.ParseException()",1,1,1
"org.apache.james.mime4j.field.contentdisposition.parser.ParseException.ParseException(String)",1,1,1
"org.apache.james.mime4j.field.contentdisposition.parser.ParseException.ParseException(Throwable)",1,1,1
