Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.hsqldb.ParserRoutine",46,13,198,211,355,3,0,1,1.002,960,1,148,1,"7,83",22,125,188
"org.hsqldb.QueryExpression",48,33,46,79,355,0,0,7,523,480,1,0,0,"2,26",22,99,104
"org.hsqldb.QuerySpecification",60,57,104,161,355,1,0,1,1.307,1.220,0,18,24,"4,83",22,202,280
"org.hsqldb.RangeVariable",48,28,34,62,355,0,0,1,451,379,0,0,0,"2,62",19,77,89
"org.hsqldb.RangeVariable.FullRangeIterator",13,12,35,47,355,2,1,2,45,45,0,15,2,"2,33",1,12,7
"org.hsqldb.RangeVariable.JoinedRangeIterator",6,14,36,50,355,2,1,3,36,36,0,11,3,"2,00",2,7,8
"org.hsqldb.RangeVariable.RangeIteratorBase",15,7,20,27,355,0,1,3,63,63,1,0,0,"1,55",7,16,17
"org.hsqldb.RangeVariable.RangeIteratorMain",18,12,32,44,355,1,1,2,213,197,2,4,5,"3,42",4,35,41
"org.hsqldb.RangeVariableResolver",24,16,12,28,355,0,0,1,446,401,0,0,0,"7,42",1,67,89
"org.hsqldb.Routine",37,34,60,94,355,0,1,9,482,457,0,0,0,"1,98",33,78,101
"org.hsqldb.RoutineSchema",18,3,23,26,355,0,1,5,141,132,0,0,0,"2,71",11,26,38
"org.hsqldb.Row",43,7,39,46,355,0,1,11,164,116,1,0,0,"1,27",14,31,33
"org.hsqldb.RowAction",14,13,22,35,355,1,0,1,451,405,0,0,0,"4,76",10,24,100
"org.hsqldb.RowActionBase",9,15,1,16,355,0,0,0,42,23,1,0,0,"1,00",0,2,1
"org.hsqldb.Scanner",42,20,50,70,355,0,0,1,1.703,1.583,0,0,0,"6,18",29,103,309
"org.hsqldb.Schema",19,15,24,39,355,0,1,7,159,157,0,0,0,"1,73",12,30,26
"org.hsqldb.SchemaManager",58,4,67,71,355,0,0,1,1.135,1.003,0,0,0,"3,55",38,184,238
"org.hsqldb.SchemaObject",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9,n/a
