Class,OCavg,WMC
"org.eclipse.jdt.internal.codeassist.impl.AssistCompilationUnit","1,00",6
"org.eclipse.jdt.internal.codeassist.impl.AssistImportContainer","1,00",3
"org.eclipse.jdt.internal.codeassist.impl.AssistImportDeclaration","1,00",2
"org.eclipse.jdt.internal.codeassist.impl.AssistInitializer","1,00",3
"org.eclipse.jdt.internal.codeassist.impl.AssistOptions","14,75",59
"org.eclipse.jdt.internal.codeassist.impl.AssistPackageDeclaration","1,00",3
"org.eclipse.jdt.internal.codeassist.impl.AssistParser","3,33",360
"org.eclipse.jdt.internal.codeassist.impl.AssistSourceField","1,29",9
"org.eclipse.jdt.internal.codeassist.impl.AssistSourceMethod","1,25",10
"org.eclipse.jdt.internal.codeassist.impl.AssistSourceType","1,23",16
"org.eclipse.jdt.internal.codeassist.impl.AssistTypeParameter","1,00",2
"org.eclipse.jdt.internal.codeassist.impl.Engine","5,00",65
"org.eclipse.jdt.internal.codeassist.select.SelectionJavadoc","5,80",29
"org.eclipse.jdt.internal.codeassist.select.SelectionJavadocParser","3,00",30
"org.eclipse.jdt.internal.codeassist.select.SelectionNodeFound","1,00",3
"org.eclipse.jdt.internal.codeassist.select.SelectionOnArgumentName","1,33",8
"org.eclipse.jdt.internal.codeassist.select.SelectionOnExplicitConstructorCall","3,00",9
"org.eclipse.jdt.internal.codeassist.select.SelectionOnFieldReference","1,33",4
"org.eclipse.jdt.internal.codeassist.select.SelectionOnFieldType","1,00",2
"org.eclipse.jdt.internal.codeassist.select.SelectionOnImportReference","2,00",4
"org.eclipse.jdt.internal.codeassist.select.SelectionOnLambdaExpression","1,50",3
"org.eclipse.jdt.internal.codeassist.select.SelectionOnLocalName","1,25",5
"org.eclipse.jdt.internal.codeassist.select.SelectionOnMessageSend","6,33",19
"org.eclipse.jdt.internal.codeassist.select.SelectionOnNameOfMemberValuePair","1,33",4
"org.eclipse.jdt.internal.codeassist.select.SelectionOnPackageReference","2,00",4
"org.eclipse.jdt.internal.codeassist.select.SelectionOnParameterizedQualifiedTypeReference","2,00",8
"org.eclipse.jdt.internal.codeassist.select.SelectionOnParameterizedSingleTypeReference","1,25",5
"org.eclipse.jdt.internal.codeassist.select.SelectionOnQualifiedAllocationExpression","4,00",16
"org.eclipse.jdt.internal.codeassist.select.SelectionOnQualifiedNameReference","3,33",10
"org.eclipse.jdt.internal.codeassist.select.SelectionOnQualifiedSuperReference","1,33",4
"org.eclipse.jdt.internal.codeassist.select.SelectionOnQualifiedTypeReference","2,50",10
"org.eclipse.jdt.internal.codeassist.select.SelectionOnReferenceExpression","1,50",3
"org.eclipse.jdt.internal.codeassist.select.SelectionOnReferenceExpressionName","1,40",7
"org.eclipse.jdt.internal.codeassist.select.SelectionOnSingleNameReference","3,33",10
"org.eclipse.jdt.internal.codeassist.select.SelectionOnSingleTypeReference","1,80",9
"org.eclipse.jdt.internal.codeassist.select.SelectionOnSuperReference","1,33",4
"org.eclipse.jdt.internal.codeassist.select.SelectionParser","3,28",226
"org.eclipse.jdt.internal.codeassist.select.SelectionScanner","2,00",8
"org.eclipse.jdt.internal.compiler.ASTVisitor","1,00",261
"org.eclipse.jdt.internal.compiler.AbstractAnnotationProcessorManager",n/a,0
"org.eclipse.jdt.internal.compiler.ClassFile","9,64",1.051
"org.eclipse.jdt.internal.compiler.ClassFilePool","1,60",8
"org.eclipse.jdt.internal.compiler.CompilationResult","3,43",96
"org.eclipse.jdt.internal.compiler.Compiler","4,21",122
"org.eclipse.jdt.internal.compiler.Compiler.APTProblem","1,00",1
"org.eclipse.jdt.internal.compiler.DefaultErrorHandlingPolicies","1,00",20
"org.eclipse.jdt.internal.compiler.DocumentElementParser","2,49",157
"org.eclipse.jdt.internal.compiler.ExtraFlags","6,67",20
"org.eclipse.jdt.internal.compiler.ISourceElementRequestor.FieldInfo",n/a,0
"org.eclipse.jdt.internal.compiler.ISourceElementRequestor.MethodInfo",n/a,0
"org.eclipse.jdt.internal.compiler.ISourceElementRequestor.ParameterInfo",n/a,0
"org.eclipse.jdt.internal.compiler.ISourceElementRequestor.TypeInfo",n/a,0
"org.eclipse.jdt.internal.compiler.ISourceElementRequestor.TypeParameterInfo",n/a,0
"org.eclipse.jdt.internal.compiler.ProcessTaskManager","4,80",24
"org.eclipse.jdt.internal.compiler.ReadManager","8,00",32
"org.eclipse.jdt.internal.compiler.SourceElementNotifier","7,53",143
"org.eclipse.jdt.internal.compiler.SourceElementNotifier.LocalDeclarationVisitor","1,60",8
"org.eclipse.jdt.internal.compiler.SourceElementParser","3,33",180
"org.eclipse.jdt.internal.compiler.SourceElementRequestorAdapter","1,00",25
"org.eclipse.jdt.internal.compiler.SourceJavadocParser","5,50",22
"org.eclipse.jdt.internal.compiler.ast.AND_AND_Expression","6,43",45
"org.eclipse.jdt.internal.compiler.ast.ASTNode","8,34",242
"org.eclipse.jdt.internal.compiler.ast.AbstractMethodDeclaration","3,92",145
"org.eclipse.jdt.internal.compiler.ast.AbstractVariableDeclaration","1,73",19
"org.eclipse.jdt.internal.compiler.ast.AllocationExpression","4,74",161
"org.eclipse.jdt.internal.compiler.ast.Annotation","6,18",309
"org.eclipse.jdt.internal.compiler.ast.AnnotationMethodDeclaration","4,12",33
"org.eclipse.jdt.internal.compiler.ast.Argument","3,40",51
"org.eclipse.jdt.internal.compiler.ast.ArrayAllocationExpression","7,43",52
"org.eclipse.jdt.internal.compiler.ast.ArrayInitializer","7,29",51
"org.eclipse.jdt.internal.compiler.ast.ArrayQualifiedTypeReference","3,50",42
"org.eclipse.jdt.internal.compiler.ast.ArrayReference","3,36",37
"org.eclipse.jdt.internal.compiler.ast.ArrayTypeReference","3,77",49
"org.eclipse.jdt.internal.compiler.ast.AssertStatement","4,00",32
"org.eclipse.jdt.internal.compiler.ast.Assignment","3,13",47
"org.eclipse.jdt.internal.compiler.ast.BinaryExpression","14,76",369
"org.eclipse.jdt.internal.compiler.ast.Block","3,33",40
"org.eclipse.jdt.internal.compiler.ast.BranchStatement","3,00",9
"org.eclipse.jdt.internal.compiler.ast.BreakStatement","3,40",17
"org.eclipse.jdt.internal.compiler.ast.CaseStatement","3,43",24
"org.eclipse.jdt.internal.compiler.ast.CastExpression","4,08",155
"org.eclipse.jdt.internal.compiler.ast.CharLiteral","3,17",19
"org.eclipse.jdt.internal.compiler.ast.ClassLiteralAccess","2,67",16
"org.eclipse.jdt.internal.compiler.ast.Clinit","5,25",63
"org.eclipse.jdt.internal.compiler.ast.CombinedBinaryExpression","4,40",44
"org.eclipse.jdt.internal.compiler.ast.CompilationUnitDeclaration","5,44",174
"org.eclipse.jdt.internal.compiler.ast.CompoundAssignment","4,60",46
"org.eclipse.jdt.internal.compiler.ast.ConditionalExpression","6,65",153
"org.eclipse.jdt.internal.compiler.ast.ConstructorDeclaration","8,12",138
"org.eclipse.jdt.internal.compiler.ast.ContainerAnnotation","3,67",11
"org.eclipse.jdt.internal.compiler.ast.ContinueStatement","3,17",19
"org.eclipse.jdt.internal.compiler.ast.DoStatement","4,12",33
"org.eclipse.jdt.internal.compiler.ast.DoubleLiteral","3,60",18
"org.eclipse.jdt.internal.compiler.ast.EmptyStatement","1,29",9
"org.eclipse.jdt.internal.compiler.ast.EqualExpression","12,71",178
"org.eclipse.jdt.internal.compiler.ast.ExplicitConstructorCall","4,67",98
"org.eclipse.jdt.internal.compiler.ast.Expression","5,60",297
"org.eclipse.jdt.internal.compiler.ast.ExpressionContext","1,00",8
