Class,OCavg,WMC
"fr.jayasoft.ivy.xml.XmlReportParser.SaxXmlReportParser","2,38",19
"list.ListFile","2,00",4
"list.Main","1,50",3
"myapp.Main","1,00",1
"size.FileSize","1,50",3
"sizewhere.Main","1,00",2
"sizewhere.SizeWhere","1,00",1
"standalone.Main","1,33",4
"version.Version","1,00",1

