Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.hadoop.hive.ql.security.authorization.HiveAuthorizationProvider",467,6,1.734,9,1.647
"org.apache.hadoop.hive.ql.security.authorization.HiveMetastoreAuthorizationProvider",467,3,1.734,2,1.647
"org.apache.hadoop.hive.ql.security.authorization.plugin.HiveAccessController",0,1,15,3,12
"org.apache.hadoop.hive.ql.security.authorization.plugin.HiveAuthorizationValidator",0,0,0,1,1
"org.apache.hadoop.hive.ql.security.authorization.plugin.HiveAuthorizer",0,2,16,11,1.648
"org.apache.hadoop.hive.ql.security.authorization.plugin.HiveAuthorizerFactory",467,2,1.734,8,1.647
"org.apache.hadoop.hive.ql.security.authorization.plugin.HiveMetastoreClientFactory",0,1,268,11,1.648
"org.apache.hadoop.hive.ql.stats.ClientStatsPublisher",0,0,0,1,1.648
"org.apache.hadoop.hive.ql.stats.StatsAggregator",467,1,1.734,5,1.647
"org.apache.hadoop.hive.ql.stats.StatsCollectionTaskIndependent",0,0,0,5,1.648
"org.apache.hadoop.hive.ql.stats.StatsPublisher",0,0,0,12,1.649
"org.apache.hadoop.hive.ql.udaf.TestStreamingSum.TypeHandler",0,3,51,4,4
"org.apache.hadoop.hive.ql.udf.SettableUDF",467,2,1.734,6,1.647
"org.apache.hadoop.hive.ql.udf.generic.Collector",0,1,1.735,0,0
"org.apache.hadoop.hive.ql.udf.generic.GenericUDAFEvaluator.AggregationBuffer",0,0,0,37,1.661
"org.apache.hadoop.hive.ql.udf.generic.GenericUDAFParameterInfo",0,2,3,0,0
"org.apache.hadoop.hive.ql.udf.generic.GenericUDAFResolver",467,2,1.734,4,1.647
"org.apache.hadoop.hive.ql.udf.generic.GenericUDAFResolver2",0,1,1.735,0,0
"org.apache.hadoop.hive.ql.udf.generic.GenericUDF.DeferredObject",467,1,1.734,39,1.647
"org.apache.hadoop.hive.ql.udf.generic.ISupportStreamingModeForWindowing",467,2,1.734,3,1.647
"org.apache.hadoop.hive.ql.udf.generic.LeadLagBuffer",0,1,1,0,0
"org.apache.hadoop.hive.serde2.ByteStream.RandomAccessOutput",0,0,0,16,2.149
"org.apache.hadoop.hive.serde2.Deserializer",0,1,2,32,1.726
"org.apache.hadoop.hive.serde2.SerDe",0,0,0,49,1.664
"org.apache.hadoop.hive.serde2.SerDeStatsStruct",0,0,0,3,28
"org.apache.hadoop.hive.serde2.Serializer",0,1,2,6,1.648
"org.apache.hadoop.hive.serde2.StructObject",0,0,0,4,1.687
"org.apache.hadoop.hive.serde2.columnar.LazyDecompressionCallback",0,0,0,1,1.657
"org.apache.hadoop.hive.serde2.dynamic_type.Node",0,0,0,0,0
"org.apache.hadoop.hive.serde2.dynamic_type.thrift_grammarConstants",0,0,0,0,0
"org.apache.hadoop.hive.serde2.dynamic_type.thrift_grammarTreeConstants",0,0,0,0,0
"org.apache.hadoop.hive.serde2.lazy.LazyObjectBase",0,0,0,17,25
"org.apache.hadoop.hive.serde2.objectinspector.ConstantObjectInspector",0,0,0,33,2.152
"org.apache.hadoop.hive.serde2.objectinspector.ListObjectInspector",0,0,0,43,1.883
"org.apache.hadoop.hive.serde2.objectinspector.MapEqualComparer",0,0,0,0,0
"org.apache.hadoop.hive.serde2.objectinspector.MapObjectInspector",0,0,0,28,1.881
"org.apache.hadoop.hive.serde2.objectinspector.ObjectInspector",0,1,1,522,2.221
"org.apache.hadoop.hive.serde2.objectinspector.ObjectInspectorConverters.Converter",0,0,0,68,1.675
"org.apache.hadoop.hive.serde2.objectinspector.PrimitiveObjectInspector",15,2,50,197,2.140
"org.apache.hadoop.hive.serde2.objectinspector.SettableListObjectInspector",0,0,0,2,7
"org.apache.hadoop.hive.serde2.objectinspector.SettableMapObjectInspector",0,0,0,2,7
"org.apache.hadoop.hive.serde2.objectinspector.StructField",0,0,0,122,1.903
"org.apache.hadoop.hive.serde2.objectinspector.UnionObject",0,0,0,4,1.652
"org.apache.hadoop.hive.serde2.objectinspector.UnionObjectInspector",0,0,0,14,1.875
"org.apache.hadoop.hive.serde2.objectinspector.primitive.BinaryObjectInspector",0,1,51,12,1.872
"org.apache.hadoop.hive.serde2.objectinspector.primitive.BooleanObjectInspector",0,1,51,20,1.875
"org.apache.hadoop.hive.serde2.objectinspector.primitive.ByteObjectInspector",0,1,51,14,1.875
"org.apache.hadoop.hive.serde2.objectinspector.primitive.DateObjectInspector",0,2,51,9,1.873
"org.apache.hadoop.hive.serde2.objectinspector.primitive.DoubleObjectInspector",0,1,51,18,1.875
"org.apache.hadoop.hive.serde2.objectinspector.primitive.FloatObjectInspector",0,1,51,12,1.874
"org.apache.hadoop.hive.serde2.objectinspector.primitive.HiveCharObjectInspector",0,3,51,10,1.873
"org.apache.hadoop.hive.serde2.objectinspector.primitive.HiveDecimalObjectInspector",0,3,51,12,1.873
"org.apache.hadoop.hive.serde2.objectinspector.primitive.HiveVarcharObjectInspector",0,3,51,10,1.873
"org.apache.hadoop.hive.serde2.objectinspector.primitive.IntObjectInspector",15,1,50,17,2.140
"org.apache.hadoop.hive.serde2.objectinspector.primitive.LongObjectInspector",15,1,50,22,2.140
"org.apache.hadoop.hive.serde2.objectinspector.primitive.SettableBinaryObjectInspector",0,0,0,3,1.856
"org.apache.hadoop.hive.serde2.objectinspector.primitive.SettableBooleanObjectInspector",0,0,0,3,1.856
"org.apache.hadoop.hive.serde2.objectinspector.primitive.SettableByteObjectInspector",0,0,0,4,1.857
"org.apache.hadoop.hive.serde2.objectinspector.primitive.SettableDateObjectInspector",0,1,51,3,1.856
"org.apache.hadoop.hive.serde2.objectinspector.primitive.SettableDoubleObjectInspector",0,0,0,3,1.856
"org.apache.hadoop.hive.serde2.objectinspector.primitive.SettableFloatObjectInspector",0,0,0,3,1.856
"org.apache.hadoop.hive.serde2.objectinspector.primitive.SettableHiveCharObjectInspector",0,1,1,3,1.856
"org.apache.hadoop.hive.serde2.objectinspector.primitive.SettableHiveDecimalObjectInspector",0,2,51,4,1.856
