,commit,instance
235,119,uk.ac.ed.ph.aardvark.processor.Processor.createValidationRequest()
236,119,uk.ac.ed.ph.aardvark.processor.Processor.validate()
237,119,uk.ac.ed.ph.aardvark.processor.Processor.createRequestId()
238,119,uk.ac.ed.ph.aardvark.processor.domain.ProcessorResult.getNodeMetadata()
239,119,uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidationStrategy.runValidator()
240,119,uk.ac.ed.ph.aardvark.processor.domain.ValidationResult.ValidationResult()
241,119,uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidationStrategy.saveConfigurationResource()
242,119,uk.ac.ed.ph.aardvark.processor.validator.Validator.getValidator()
243,119,uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidationStrategy.validate()
244,119,uk.ac.ed.ph.aardvark.processor.domain.ProcessorResult.getChildResults()
245,119,uk.ac.ed.ph.aardvark.processor.Processor.Processor()
246,119,uk.ac.ed.ph.aardvark.processor.Processor.createWorkDirectoryName()
248,119,uk.ac.ed.ph.aardvark.processor.domain.ValidationResult.toString()
249,119,uk.ac.ed.ph.aardvark.processor.validator.Validator.validate()
250,122,uk.ac.ed.ph.aardvark.core.databinding.ContentPageLearningResourcesWriterStrategy.getSystemId()
251,122,uk.ac.ed.ph.aardvark.core.databinding.ContentPageLearningResourcesMarshallingTest.isXMLValidatable()
252,123,uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyContentPageConversionStrategy.convertResources()
253,123,uk.ac.ed.ph.aardvark.processor.validator.ContentPageValidationStrategy.cookSourceCode()
254,125,uk.ac.ed.ph.aardvark.core.databinding.ContentPageSourceMarshallingTest.isXMLValidatable()
255,125,uk.ac.ed.ph.aardvark.core.databinding.ContentPageSourceWriterStrategy.getSystemId()
256,126,uk.ac.ed.ph.aardvark.processor.domain.ProcessorConfigurationException.ProcessorConfigurationException()
260,128,uk.ac.ed.ph.aardvark.processor.validator.AbstractValidatorTest.expectSuccess()
261,128,uk.ac.ed.ph.aardvark.processor.validator.MCQValidationStrategy.cookSourceCode()
262,128,uk.ac.ed.ph.aardvark.processor.validator.ProcessorValidatorTestSuite.suite()
263,129,uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidationStrategy.runValidator()
264,130,uk.ac.ed.ph.aardvark.processor.Processor.main()
265,130,uk.ac.ed.ph.aardvark.processor.Processor.Processor()
266,133,uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidationStrategy.validate()
267,133,uk.ac.ed.ph.aardvark.processor.validator.Validator.validate()
268,133,uk.ac.ed.ph.aardvark.processor.validator.Validator.getValidator()
269,133,uk.ac.ed.ph.aardvark.processor.validator.ContentPageValidationStrategy.cookSourceCode()
270,133,uk.ac.ed.ph.aardvark.processor.validator.ProcessorValidatorTestSuite.suite()
271,133,uk.ac.ed.ph.aardvark.processor.validator.MCQValidationStrategy.cookSourceCode()
272,133,uk.ac.ed.ph.aardvark.processor.validator.AbstractValidatorTest.expectSuccess()
273,135,uk.ac.ed.ph.aardvark.cms.domain.NodeLinkId.fromURI()
274,137,uk.ac.ed.ph.aardvark.core.databinding.CoreDatabindingTestSuite.suite()
275,139,uk.ac.ed.ph.aardvark.processor.validator.util.XMLErrorElementFinder.endDocument()
276,139,uk.ac.ed.ph.aardvark.commons.xml.ResultAccumulatingFilter.getResults()
277,139,uk.ac.ed.ph.aardvark.processor.validator.util.XHTMLImageElementFinder.startElement()
278,139,uk.ac.ed.ph.aardvark.commons.xml.ResultAccumulatingFilter.addResult()
279,139,uk.ac.ed.ph.aardvark.processor.validator.util.XMLErrorElementFinder.endElement()
280,139,uk.ac.ed.ph.aardvark.processor.util.AardvarkLinkFinder.findXlinkHrefs()
281,139,uk.ac.ed.ph.aardvark.processor.validator.util.XMLErrorElementFinder.foundErrors()
282,139,uk.ac.ed.ph.aardvark.processor.validator.util.CSSStylesheetFinder.startElement()
283,140,uk.ac.ed.ph.aardvark.processor.validator.TeX4htTidyingPipeline.execute()
284,141,uk.ac.ed.ph.aardvark.cms.NodeNotFoundException.NodeNotFoundException()
285,144,uk.ac.ed.ph.aardvark.commons.xml.ResultAccumulatingFilter.addResult()
286,144,uk.ac.ed.ph.aardvark.commons.xml.ResultAccumulatingFilter.startDocument()
287,144,uk.ac.ed.ph.aardvark.commons.xml.ResultAccumulatingFilter.getResults()
288,144,uk.ac.ed.ph.aardvark.commons.xml.ResultAccumulatingFilter.reset()
289,147,uk.ac.ed.ph.aardvark.core.globals.NodeType.isAllowableResourceType()
290,150,uk.ac.ed.ph.aardvark.core.databinding.OrganisationTreeSourceReaderStrategy.startElement()
291,150,uk.ac.ed.ph.aardvark.core.databinding.OrganisationTreeSourceWriterStrategy.fireTreeNode()
292,150,uk.ac.ed.ph.aardvark.core.databinding.OrganisationTreeSourceMarshallingTest.checkSampleData()
293,151,uk.ac.ed.ph.aardvark.processor.domain.ValidationResult.toString()
294,154,uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidationStrategy.validate()
295,154,uk.ac.ed.ph.aardvark.processor.validator.Validator.validate()
296,156,uk.ac.ed.ph.aardvark.processor.Processor.Processor()
297,156,uk.ac.ed.ph.aardvark.processor.Processor.createValidationRequest()
298,157,uk.ac.ed.ph.aardvark.cms.internal.jdbc.DatabaseMetadataManager.createNodeMetadata()
299,157,uk.ac.ed.ph.aardvark.cms.internal.jdbc.DatabaseMetadataReader.getCoreMetadata()
300,157,uk.ac.ed.ph.aardvark.cms.internal.jdbc.DatabaseMetadataReader.getFullMetadata()
301,157,uk.ac.ed.ph.aardvark.cms.internal.jdbc.DatabaseMetadataReader.getNodeInternalId()
303,158,uk.ac.ed.ph.aardvark.cms.domain.NodeLinkId.toString()
304,158,uk.ac.ed.ph.aardvark.core.resources.MetadataCache.toString()
305,158,uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManagerTest.setUp()
