,commit,instance
157,d8ee711000a26fc2cf098bc1dfd414948b4411fa,org.apache.catalina.util.AnnotationProcessor.preDestroy()
158,d8ee711000a26fc2cf098bc1dfd414948b4411fa,org.apache.catalina.util.AnnotationProcessor.injectNamingResources()
159,33772dbad8e7521a0b4845b24fd3293da43690a9,org.apache.catalina.connector.CoyoteAdapter.event()
160,33772dbad8e7521a0b4845b24fd3293da43690a9,org.apache.catalina.servlets.CometServlet.service()
161,487f57db342d80ead1dd84488728514de0fe4f3e,org.apache.tomcat.util.net.AprEndpoint.destroy()
162,487f57db342d80ead1dd84488728514de0fe4f3e,org.apache.tomcat.util.net.Poller.init()
163,487f57db342d80ead1dd84488728514de0fe4f3e,org.apache.tomcat.util.net.Poller.destroy()
164,487f57db342d80ead1dd84488728514de0fe4f3e,org.apache.tomcat.util.net.Poller.run()
165,487f57db342d80ead1dd84488728514de0fe4f3e,org.apache.tomcat.util.net.Sendfile.destroy()
166,487f57db342d80ead1dd84488728514de0fe4f3e,org.apache.tomcat.util.net.Sendfile.run()
167,269eeac4907aca21cfb820c9b18a425f6cb2c0f5,org.apache.coyote.http11.InternalAprInputBuffer.recycle()
168,269eeac4907aca21cfb820c9b18a425f6cb2c0f5,org.apache.coyote.http11.InternalAprInputBuffer.nextRequest()
169,269eeac4907aca21cfb820c9b18a425f6cb2c0f5,org.apache.coyote.http11.InternalAprInputBuffer.parseRequestLine()
170,269eeac4907aca21cfb820c9b18a425f6cb2c0f5,org.apache.coyote.http11.InternalAprInputBuffer.parseHeaders()
171,269eeac4907aca21cfb820c9b18a425f6cb2c0f5,org.apache.coyote.http11.InternalAprInputBuffer.parseHeader()
172,269eeac4907aca21cfb820c9b18a425f6cb2c0f5,org.apache.coyote.http11.InternalAprInputBuffer.fill()
173,269eeac4907aca21cfb820c9b18a425f6cb2c0f5,org.apache.coyote.http11.InternalAprInputBuffer.InternalAprInputBuffer()
174,269eeac4907aca21cfb820c9b18a425f6cb2c0f5,org.apache.coyote.http11.InternalAprOutputBuffer.recycle()
175,269eeac4907aca21cfb820c9b18a425f6cb2c0f5,org.apache.coyote.http11.InternalAprOutputBuffer.nextRequest()
176,269eeac4907aca21cfb820c9b18a425f6cb2c0f5,org.apache.coyote.http11.InternalAprOutputBuffer.InternalAprOutputBuffer()
177,3b9739bcac7f0a447f11d4908d15e27ab453463e,org.apache.catalina.connector.OutputBuffer.recycle()
178,3b9739bcac7f0a447f11d4908d15e27ab453463e,org.apache.catalina.connector.OutputBuffer.close()
179,3b9739bcac7f0a447f11d4908d15e27ab453463e,org.apache.catalina.connector.OutputBuffer.doFlush()
180,3b9739bcac7f0a447f11d4908d15e27ab453463e,org.apache.catalina.connector.OutputBuffer.write()
181,3b9739bcac7f0a447f11d4908d15e27ab453463e,org.apache.catalina.connector.OutputBuffer.writeByte()
186,3b9739bcac7f0a447f11d4908d15e27ab453463e,org.apache.catalina.connector.OutputBuffer.OutputBuffer()
187,ef69911cfeb49cf6cf53d10f77e980fae031a83f,org.apache.coyote.http11.Http11AprProcessor.event()
188,f019587ce19478dc4f55d122295121f229e36713,org.apache.coyote.http11.Http11AprProcessor.event()
189,f9ae329864bb8306e1f7cb4e1ba5f29dd471ef09,org.apache.catalina.startup.Bootstrap.main()
190,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.AttributeInfo.getGetMethod()
191,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.AttributeInfo.setGetMethod()
192,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.AttributeInfo.setIs()
193,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.AttributeInfo.setReadable()
194,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.AttributeInfo.getSetMethod()
195,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.AttributeInfo.setSetMethod()
196,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.AttributeInfo.setWriteable()
197,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.AttributeInfo.createAttributeInfo()
198,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.BaseModelMBean.getAttribute()
199,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.BaseModelMBean.getMBeanInfo()
200,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.BaseModelMBean.invoke()
201,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.BaseModelMBean.getAttributeClass()
202,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.BaseModelMBean.setAttribute()
203,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.BaseModelMBean.setAttributes()
204,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.BaseModelMBean.setManagedResource()
205,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.BaseModelMBean.getNotificationInfo()
206,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.BaseModelMBean.BaseModelMBean()
207,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.ConstructorInfo.createConstructorInfo()
208,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.ManagedBean.getAttributes()
209,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.ManagedBean.getOperations()
210,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.ManagedBean.addAttribute()
211,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.ManagedBean.addOperation()
212,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.ManagedBean.createMBean()
214,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.NotificationInfo.createNotificationInfo()
215,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.OperationInfo.getReturnType()
216,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.OperationInfo.setReturnType()
217,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.OperationInfo.createOperationInfo()
218,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.ParameterInfo.createParameterInfo()
219,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.ParameterInfo.ParameterInfo()
220,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.Registry.getRegistry()
221,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.Registry.stop()
222,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.Registry.loadMetadata()
223,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.Registry.addManagedBean()
224,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.Registry.findManagedBean()
225,1823a9e9dd1bcb51dea24f5f764de70dae2da2dd,org.apache.tomcat.util.modeler.Registry.findManagedBeans()
